id,couple,segment,domaine,famille,famille_nom,profil_public_propose,revision_editoriale,pilote,largeur_m,profondeur_m,hauteur_m,dimensions_v3_LxPxH_m,theme_revue_v3,theme_revue_code,declinaisons_styles,facade_locale_grande_echelle,volume_local_m,parvis_propose_m,raccord_legacy_revue_LxHxP_m,raccord_v2_regle,facade_layout_v3,layout_propre,prop_1,prop_2,prop_3,props_complementaires,props_v3_complets,limites_editoriales,refs_inspiration,render_exterieur_canonique,render_interieur_canonique,sous_budget_interieur,statut
C11,commerce/alimentation-agroalimentaire,commerce,alimentation-agroalimentaire,F04,retail,vp-c11,r1,non,6,9,3.2,6x9x3.2,Artisan,4,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.28x4.50x2.49,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Épicerie store sobre ; entrée dégagée, rayonnages périphériques, îlot central bas, comptoir fond","Entrée dégagée ; rayonnages de bouteilles anonymes et bocaux sur les deux côtés ; îlot central bas de paniers et fruits génériques ; comptoir au fond, desservi par une boucle lisible.",Bouteilles anonymes,bocaux,paniers,fruits génériques sans prix,"Bouteilles anonymes, bocaux, paniers, fruits génériques sans prix",Aucun prix ni stock ni bio ni fraicheur garantie ni provenance ni marque,6,vp-c11-r1-exterior,vp-c11-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C12,commerce/textile-habillement,commerce,textile-habillement,F04,retail,vp-c12,r1,oui,6,10,3.4,6x10x3.4,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Boutique mode montants fins ; boucle autour table basse, portants latéraux, alcôve essayage, caisse décorative",Boucle autour de la table basse centrale ; portants et vêtements sans marques sur les rives latérales ; alcôve d'essayage en fond gauche avec rideau et miroir simulé ; caisse décorative en fond droit sans transaction.,Portants,cintres,vêtements sans marques,rideau ; miroir simulé,"Portants, cintres, vêtements sans marques, rideau, miroir simulé","Vêtements sans marques, essayage et caisse uniquement décoratifs ; ni prix, stock, achat ni transaction ; miroir simulé sans rendu secondaire obligatoire.",1|4|5,vp-c12-r1-exterior,vp-c12-r1-interior,interieur_ordinaire,pilote_avant_stop_humain
C13,commerce/technologie-informatique,commerce,technologie-informatique,F04,retail,vp-c13,r1,non,6,9,3.2,6x9x3.2,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Boutique électronique vitrée ; tables démonstration en îlots, accessoires muraux, comptoir conseil fond",Deux îlots de démonstration d'appareils anonymes éteints séparés par l'allée centrale ; accessoires et câbles sur le mur gauche ; boîtes vierges en périphérie ; comptoir conseil au fond.,Ordinateurs/téléphones anonymes éteints,boîtes vierges,câbles,aucun item V3 supplémentaire,"Ordinateurs/téléphones anonymes éteints, boîtes vierges, câbles",Aucune nouvelle specialite electromenager ni marque ni garantie SAV ni promotion ni donnees appareil,1|4|10_ambiance_seulement,vp-c13-r1-exterior,vp-c13-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C14,commerce/sante-paramedical,commerce,sante-paramedical,F04,retail,vp-c14,r1,non,6,9,3.2,6x9x3.2,Minimal,3,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.02x3.82x2.30,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Présentation paramédicale neutre sans croix ; accueil conseil, allées larges, hygiène/confort, comptoir discret",Accueil conseil au premier tiers ; allées larges entre présentations hygiène/confort sans médicaments ; ergonomie et aide à la mobilité au fond gauche ; contenants neutres et comptoir discret sur la droite.,Accessoires ergonomiques,contenants sans texte,assises,aide mobilité,"Accessoires ergonomiques, contenants sans texte, assises, aide mobilité ; pas médicaments/officine",Aucun medicament ni boite de soin ni pharmacie ni patient ni remboursement ni resultat sante,4_lumiere_seulement,vp-c14-r1-exterior,vp-c14-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C15,commerce/artisanat,commerce,artisanat,F04,retail,vp-c15,r1,non,6,8,3.3,6x8x3.3,Artisan,4,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.28x4.50x2.49,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Boutique artisanale pierre/bois motifs originaux ; galerie périphérique, îlot céramique, niche textile, comptoir discret","Galerie de pièces originales sur le pourtour ; îlot céramique au centre ; niche textile en fond gauche ; vanneries et plateaux bois près du comptoir discret à droite, sans provenance revendiquée.",Poteries,vanneries,textiles,plateaux bois sans provenance revendiquée,"Poteries, vanneries, textiles, plateaux bois sans provenance revendiquée",Aucun motif protege ni appellation locale ni prix ni oeuvre revendiquee,4|13_matiere_seulement,vp-c15-r1-exterior,vp-c15-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C16,commerce/autre,commerce,autre,F04,retail,vp-c16,r1,non,6,8,3.2,6x8x3.2,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Boutique polyvalente ; allée centrale, présentoirs modulaires, comptoir latéral","Allée centrale depuis le seuil ; présentoirs modulaires et socles de part et d'autre ; étagères vides en fond ; emballages neutres près du comptoir latéral droit, sans rayon spécialisé.",Socles,étagères vides,emballages neutres,aucun item V3 supplémentaire,"Socles, étagères vides, emballages neutres ; pas spécialité inventée",Aucune specialite papeterie cadeaux quincaillerie ou electromenager ajoutee ni offre reelle,7|8_doublon|13_organisation_seulement,vp-c16-r1-exterior,vp-c16-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C17,services/technologie-informatique,services,technologie-informatique,F05,conseil-studio,vp-c17,r1,oui,7,10,3.2,7x10x3.2,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Bureau service IT accueil visible ; rendez-vous, postes conseil, salle réunion compacte, démonstration latérale","Accueil visible puis zone de rendez-vous à gauche ; postes de conseil au centre ; salle de réunion compacte distincte au fond ; démonstration latérale droite avec routeurs factices et schémas abstraits, jamais un rayon de vente.",Postes éteints,petits routeurs factices,schémas abstraits,aucun item V3 supplémentaire,"Postes éteints, petits routeurs factices, schémas abstraits ; pas boutique ni prestation activée",Aucune boutique ni electromenager ni vente ni ecran ERP ni client reel ni logo,4_bureau_pas_boutique,vp-c17-r1-exterior,vp-c17-r1-interior,interieur_ordinaire,pilote_avant_stop_humain
C18,services/communication-marketing,services,communication-marketing,F05,conseil-studio,vp-c18,r1,non,8,10,3.3,8x10x3.3,Vintage,2,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.48x4.85x2.64,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Studio-conseil baie filtrée ; accueil client, briefing, mini studio photo, coin montage","Accueil client devant la baie filtrée ; table de briefing au centre ; mini studio photo séparé au fond gauche avec softbox factice, caméra neutre et acoustique ; coin montage au fond droit avec moodboard original.",Softbox factice,caméra neutre,acoustique,moodboard original,"Softbox factice, caméra neutre, acoustique, moodboard original ; distinct de grande agence","Mini studio photo et montage conservés ; aucune photo de personne, campagne client, logo ou promesse de performance ; ne pas remplacer ce studio par un simple salon.",4,vp-c18-r1-exterior,vp-c18-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C19,services/sante-paramedical,services,sante-paramedical,F05,conseil-studio,vp-c19,r1,oui,7,10,3.2,7x10x3.2,Minimal,3,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.02x3.82x2.30,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Accueil paramédical neutre vitrage partiellement dépoli ; accueil, attente, salle conseil illustrative séparée, sortie visible","Accueil proche du seuil ; attente sur la rive gauche ; salle de conseil illustrative séparée au fond droit avec table et éléments d'ergonomie ; affiches abstraites, sortie toujours visible depuis les circulations.",Chaises,table conseil,ergonomie,affiches abstraites sans allégations,"Chaises, table conseil, ergonomie, affiches abstraites sans allégations",Aucune pharmacie ni croix ni patient ni blouse ni soin ni diplome ni ordonnance ni claim,4_lumiere_seulement,vp-c19-r1-exterior,vp-c19-r1-interior,interieur_ordinaire,pilote_avant_stop_humain
C20,services/transport-logistique,services,transport-logistique,F05,conseil-studio,vp-c20,r1,non,8,10,3.4,8x10x3.4,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Agence coordination transport comptoir ; file accueil dégagée, expédition illustrative, bureau coordination, alcôve colis",Comptoir et file d'accueil dégagée en façade ; expédition illustrative à gauche ; alcôve de colis/casiers et chariot fixe au fond ; bureau de coordination à droite avec carte uniquement schématique non géographique.,Comptoir,casiers,chariot fixe,carte schématique non géographique,"Comptoir, casiers, chariot fixe, carte schématique non géographique ; pas grand entrepôt","Expédition et colis illustratifs conservés, carte schématique sans géographie ; aucun grand entrepôt, colis client, suivi ou trajet réel.",1_composition_seulement,vp-c20-r1-exterior,vp-c20-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C21,services/immobilier,services,immobilier,F05,conseil-studio,vp-c21,r1,non,7,10,3.2,7x10x3.2,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Agence conseil immobilier vitrine documentaire neutre ; accueil, bureaux entretien, table maquette, consultation",Accueil près de la vitrine documentaire neutre ; bureaux d'entretien latéraux ; table de petite maquette au centre ; consultation au fond avec plans abstraits et panneaux de biens fictifs sans adresses.,Panneaux de biens fictifs sans adresses,plans abstraits,petite maquette,aucun item V3 supplémentaire,"Panneaux de biens fictifs sans adresses, plans abstraits, petite maquette",Aucun bien reel ni prix ni rendement ni adresse ni annonce fictive vendable,4,vp-c21-r1-exterior,vp-c21-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C22,services/autre,services,autre,F05,conseil-studio,vp-c22,r1,non,7,9,3.2,7x9x3.2,Minimal,3,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.02x3.82x2.30,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Bureau services sobre ; rendez-vous, deux espaces entretien, table collaborative","Zone de rendez-vous à l'entrée ; deux espaces d'entretien en vis-à-vis, sans les confondre avec un open space ; table collaborative au fond ; bureau, assises et panneaux neutres hors allée de sortie.",Assises,bureau,panneaux neutres,aucun item V3 supplémentaire,"Assises, bureau, panneaux neutres",Aucune profession specialisee devinee ni attestation ni donnees privees,1_ambiance_seulement,vp-c22-r1-exterior,vp-c22-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C23,btp-construction/immobilier,btp-construction,immobilier,F06,BTP,vp-c23,r1,non,18,24,5,18x24x5,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,18x24x5,18x8,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Pavillon projet et dépôt/atelier local ; accueil projet, grande table plans, matériauthèque, démonstration structure","Accueil projet dans le pavillon ; grande table de plans au centre ; matériauthèque à gauche ; démonstration de structure et maquette de chantier fictif en fond du dépôt/atelier, casque inerte hors passage.",Maquette chantier fictif,casque inerte,coupes matériaux,plans génériques,"Maquette chantier fictif, casque inerte, coupes matériaux, plans génériques","Maquette de chantier fictif et casque inerte admis ; aucun chantier réel, adresse, permis, annonce, prix ou livraison promis.",4|12_materiaux_seulement,vp-c23-r1-exterior,vp-c23-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C24,btp-construction/energie-environnement,btp-construction,energie-environnement,F06,BTP,vp-c24,r1,non,18,20,5,18x20x5,Modern,1,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,18x20x5,18x8,3.10x4.05x2.37,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Atelier-installateur brise-soleil local ; accueil étude, table montage, démonstrateurs énergie, allée séparée stockage","Accueil étude en façade ; table de montage au centre gauche ; démonstrateurs énergie, coupe toiture, caissons et tuyauterie inerte sur la droite ; stockage en fond séparé de l'allée de visite.",Panneaux solaires,coupe toiture,tuyauterie inerte,caissons isolation,"Panneaux solaires, coupe toiture, tuyauterie inerte, caissons isolation",Aucune certification ni economie garantie ni chantier reel ni dispositif actif,4|12_structure_seulement,vp-c24-r1-exterior,vp-c24-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C25,btp-construction/artisanat,btp-construction,artisanat,F02,atelier,vp-c25,r1,non,12,16,4.8,12x16x4.8,Artisan,4,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,12x16x4.8,12x6,3.28x4.50x2.49,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Atelier métiers bâtiment bois métal pierre local ; accueil échantillons, établi long, supports menuiserie, contrôle matières","Accueil échantillons à l'avant ; établi long sur la rive gauche ; supports de menuiserie avec dormants, profils et ferrures sur la droite ; contrôle des matières bois/métal/pierre au fond, outils inertes hors chemin.",Dormants fenêtres,profilés bois,ferrures,outils inertes ; pierre taillée,"Dormants fenêtres, profilés bois, ferrures, outils inertes, pierre taillée",Aucun travailleur ni machine en action ni label qualite ni boutique quincaillerie,4|12_detail_seulement,vp-c25-r1-exterior,vp-c25-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C26,btp-construction/autre,btp-construction,autre,F06,BTP,vp-c26,r1,non,18,24,5,18x24x5,Classic,0,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,oui,18x24x5,18x8,3.36x4.73x2.57,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Construction polyvalente façade locale ; bureau chantier illustratif, plans, démonstration matériaux, allée atelier","Bureau chantier illustratif près du seuil ; zone plans et panneaux vierges à gauche ; démonstration de matériaux minéraux à droite ; établi et outils fermés au fond, allée atelier continue et séparée.",Échantillons minéraux,panneaux vierges,établi,outils fermés,"Échantillons minéraux, panneaux vierges, établi, outils fermés",Aucun metier nouveau ni inventaire disponible ni chantier existant ni performance technique,12_volumes_seulement,vp-c26-r1-exterior,vp-c26-r1-interior,hall_grand_volume,a_produire_apres_stop_pilotes
C27,association/sante-paramedical,association,sante-paramedical,F07,collectif,vp-c27,r1,non,9,12,3.2,9x12x3.2,Minimal,3,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.02x3.82x2.30,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Local associatif information santé sans symbole officinal ; information, cercle échange, ressources, entretien séparé","Information à l'accueil ; cercle d'échange au centre ; ressources et brochures sans texte médical sur un côté ; entretien séparé en fond, avec mobilier accessible et tableaux neutres sans symbole officinal.",Chaises,brochures sans texte médical,tableaux neutres,mobilier accessible,"Chaises, brochures sans texte médical, tableaux neutres, mobilier accessible",Aucun soin ni patient ni croix ni don sollicite ni statut reconnu ni resultat sante,aucune_reprise_metier,vp-c27-r1-exterior,vp-c27-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C28,association/energie-environnement,association,energie-environnement,F07,collectif,vp-c28,r1,non,9,12,3.2,9x12x3.2,Artisan,4,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.28x4.50x2.49,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Maison associative sensibilisation environnement ; accueil, atelier collectif, réunion, ressources","Accueil à l'entrée ; atelier collectif de bacs pédagogiques au centre gauche ; réunion en fond droit ; ressources et échantillons illustratifs recyclés sur le pourtour, mini jardin décoratif hors circulation.",Bacs pédagogiques,échantillons recyclés,mini jardin décoratif,panneaux originaux,"Bacs pédagogiques, échantillons recyclés, mini jardin décoratif, panneaux originaux",Aucun label ecologique ni campagne reelle ni bilan carbone ni chiffres ni collecte,4_matiere_seulement,vp-c28-r1-exterior,vp-c28-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
C29,association/communication-marketing,association,communication-marketing,F07,collectif,vp-c29,r1,non,9,12,3.3,9x12x3.3,Vintage,2,0 Classic;1 Modern;2 Vintage;3 Minimal;4 Artisan,non,sans_scene_locale,sans_scene_locale,3.48x4.85x2.64,Emprise compatible avec le style actif et bounds exportés ; pas de métrique unique par couple,"Média participatif associatif ; accueil, rédaction, enregistrement collectif, mur projets vierge",Accueil devant le mur de projets vierge ; rédaction collective au centre ; zone d'enregistrement collectif séparée au fond avec micros factices et acoustique ; affiches originales et tables pliantes sans contenu de campagne.,Micros factices,acoustique,affiches originales,tables pliantes,"Micros factices, acoustique, affiches originales, tables pliantes","Enregistrement collectif et micros factices conservés ; aucune voix, personne, campagne, mission politique ni publication réelle.",4_graphisme_seulement,vp-c29-r1-exterior,vp-c29-r1-interior,interieur_ordinaire,a_produire_apres_stop_pilotes
